id,atividade_economica,enquadramento,len_count,seq1,codigo_resumido,seq,name,taxa_anual,vida_util,method,method_number,method_period,journal_id:id,prorata_computation_type,state,asset_type
__Import_assets_models_MyCompany_00A-1.1,A-Agricultura; pecuária; silvicultura; aquicultura; avicultura e piscatória.,1-Instalações,3,A,A-1.1,1.10,Barragens; diques; condutas e redes de rega e depósitos de elevação,4.00,25,"Straight Line", 300 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
__Import_assets_models_MyCompany_00A-1.2,A-Agricultura; pecuária; silvicultura; aquicultura; avicultura e piscatória.,1-Instalações,3,A,A-1.2,1.20,Outras instalações em tijolo; pedra ou betão incluindo armazéns; celeiros; silos e outras feitas destes materiais ou materiais similares,5.00,20,"Straight Line", 240 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
__Import_assets_models_MyCompany_00A-1.3,A-Agricultura; pecuária; silvicultura; aquicultura; avicultura e piscatória.,1-Instalações,3,A,A-1.3,1.30,Instalações feitas de materiais ligeiros; tais como de madeira; de zinco; de fibrocimento e de outros materiais similares,10.00,10,"Straight Line", 120 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
__Import_assets_models_MyCompany_00A-1.4,A-Agricultura; pecuária; silvicultura; aquicultura; avicultura e piscatória.,1-Instalações,3,A,A-1.4,1.40,Poços; furos; cercas e vedações,20.00,5,"Straight Line", 60 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
__Import_assets_models_MyCompany_00A-2.1,A-Agricultura; pecuária; silvicultura; aquicultura; avicultura e piscatória.,2-Máquinas e equipamentos,3,A,A-2.1,2.10,Equipamentos motorizados incluindo tractores; ceifeiras-debulhadoras; moto-cultivadores; enfardadeiras; atomizadores,16.67,6,"Straight Line", 72 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
__Import_assets_models_MyCompany_00A-2.2,A-Agricultura; pecuária; silvicultura; aquicultura; avicultura e piscatória.,2-Máquinas e equipamentos,3,A,A-2.2,2.20,Equipamentos não motorizados,12.50,8,"Straight Line", 96 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
__Import_assets_models_MyCompany_00A-2.3,A-Agricultura; pecuária; silvicultura; aquicultura; avicultura e piscatória.,2-Máquinas e equipamentos,3,A,A-2.3,2.30,Máquinas de preparação; selecção; lavagem; empacotamento e embalagem,16.67,6,"Straight Line", 72 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
__Import_assets_models_MyCompany_00A-2.4,A-Agricultura; pecuária; silvicultura; aquicultura; avicultura e piscatória.,2-Máquinas e equipamentos,3,A,A-2.4,2.40,Máquinas secadoras,6.67,15,"Straight Line", 180 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
__Import_assets_models_MyCompany_00A-2.5,A-Agricultura; pecuária; silvicultura; aquicultura; avicultura e piscatória.,2-Máquinas e equipamentos,3,A,A-2.5,2.50,Equipamento de ordenha,12.50,8,"Straight Line", 96 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
__Import_assets_models_MyCompany_00A-2.6,A-Agricultura; pecuária; silvicultura; aquicultura; avicultura e piscatória.,2-Máquinas e equipamentos,3,A,A-2.6,2.60,Incubadoras,10.00,10,"Straight Line", 120 ,"Months","hr_payroll_account.hr_payroll_account_journal","Constant Periods",Model,purchase
